Country,Count,PMIDs
Tanzania,8,"12500457, 14963253, 21297154, 25926423, 35267214, 25342712, 24351896, 37137692"
Egypt,18,"39102368, 25564983, 35973041, 1585946, 12660376, 23359393, 29905644, 35902369, 39118188, 28486344, 29851743, 34491970, 12028958, 2596486, 3389365, 36821727, 40344259, 39805144"
Mexico,77,"25285971, 35914288, 24423702, 24500378, 30256303, 32005674, 37026741, 32730033, 1962246, 23144120, 9113599, 16873458, 30601436, 11726336, 27566784, 29461387, 19097082, 30256302, 18796698, 33769331, 26901777, 11107222, 36972977, 30688766, 37164624, 2690383, 20042876, 12134528, 33990531, 25680978, 12768617, 36454985, 12063358, 15307123, 21558473, 15778259, 1442793, 28692606, 11567916, 1442804, 10457508, 32796256, 34039759, 22886873, 9787856, 33596026, 34623976, 35608826, 33229906, 21515666, 33491195, 33769403, 19854698, 8085206, 20798028, 25919593, 31658223, 15591972, 8899580, 21483269, 16556741, 25231672, 30095593, 1962253, 2248254, 20017186, 25099406, 38383950, 37072928, 30489352, 28697062, 1962250, 35501126, 39663960, 40561194, 39390884, 39406485"
Lebanon,21,"12874850, 37015731, 32079717, 23247606, 15657189, 36977360, 34879029, 25951421, 31361680, 19528837, 26479857, 25951422, 30916419, 25227724, 29023338, 29086993, 10609230, 39196796, 37757771, 18211911, 24683012"
Dominica,2,"35244089, 32826549"
Dominican Republic,2,"35244089, 32826549"
Algeria,2,"26725468, 23047657"
Iran,36,"39095050, 34267106, 32079717, 32541623, 14610394, 16551760, 36379677, 11911030, 27121635, 34412097, 33455922, 23828611, 22715117, 20568267, 37340668, 34412100, 30059357, 31166280, 29851738, 36730899, 39016278, 17478574, 25104279, 28314756, 18308694, 37367639, 24526704, 37262320, 21824997, 20519631, 19286991, 35697493, 40480817, 39739726, 40036809, 39820397"
Iraq,3,"39095050, 33345327, 32796257"
Morocco,1,31380573
Peru,23,"21685801, 17620282, 35027441, 24164761, 35902363, 33980699, 33861476, 31848233, 7735396, 37813485, 32855346, 20042881, 25523937, 29269563, 16531837, 9617391, 29411403, 30209209, 26045315, 25919593, 31567658, 9764100, 40490353"
Malaysia,20,"28204665, 12028951, 24850815, 20935287, 22362839, 20308258, 34789681, 30032104, 24727561, 29074553, 25794506, 30295884, 12660374, 27013525, 32537649, 22544443, 23645621, 40209667, 39418782, 39800813"
Niger,14,"16167348, 15845553, 28780568, 10912363, 14991852, 30476256, 8918146, 11741079, 19692525, 12815127, 15347778, 28598943, 10829430, 40063851"
Nigeria,14,"16167348, 15845553, 28780568, 10912363, 14991852, 30476256, 8918146, 11741079, 19692525, 12815127, 15347778, 28598943, 10829430, 40063851"
Mali,8,"31302607, 31831625, 36207110, 30121582, 31205202, 31743489, 22513657, 36257667"
Pakistan,20,"32719018, 32890224, 26185127, 33021515, 32079717, 33234873, 36717255, 26265670, 14534448, 35672913, 34593542, 35608827, 22996806, 32956236, 34799440, 35673262, 36730251, 27032413, 23155188, 39557565"
Costa Rica,18,"32404530, 23775893, 32079717, 31796522, 27566784, 20798019, 25431435, 9327065, 28093503, 26199395, 34969778, 22271638, 26972870, 33769403, 25851165, 28442543, 24652231, 39971484"
El Salvador,5,"32404530, 27566784, 31611303, 27073211, 39971484"
Argentina,12,"36809363, 10874659, 31270847, 22467330, 1442789, 34008016, 28093503, 25919593, 10470008, 21701400, 30020215, 2741963"
Ghana,6,"33522624, 27221104, 30530485, 8400208, 36257667, 29165697"
Sudan,5,"32804747, 3674022, 8241478, 31205209, 1504298"
Nicaragua,8,"8533792, 27566784, 31562235, 14691285, 21725072, 33769403, 28442543, 8808041"
Montenegro,3,"16421395, 31348417, 28742767"
Ecuador,5,"11452046, 32079717, 38527057, 9219645, 28093503"
Jamaica,4,"17154406, 10893511, 25654518, 8422050"
Indonesia,13,"38809608, 31743304, 37621026, 26231573, 38437687, 37311081, 30724770, 2305795, 26304778, 37167962, 37471479, 39418782, 40490358"
Nepal,3,"29579260, 38955484, 27206129"
Sri Lanka,18,"32079717, 9156481, 15701674, 22213343, 22661663, 12929145, 32372076, 11977422, 36070547, 22298308, 9374070, 22068890, 8400209, 9302808, 35673246, 36075375, 19122192, 22473526"
Tunisia,4,"12500460, 34817463, 26147554, 40480816"
Jordan,7,"22121245, 29280774, 38748399, 25733530, 28267103, 27932489, 2782317"
Kazakhstan,7,"37525349, 33229334, 28930375, 28598928, 35081589, 34458908, 39800765"
Guatemala,5,"27566784, 33003044, 30575695, 38383950, 29370016"
Bhutan,2,"33047357, 32236973"
Benin,4,"28780568, 8918146, 11741079, 15347778"
Togo,1,27608280
Bangladesh,7,"24854259, 25964138, 18417558, 24709769, 36280382, 35228261, 24143018"
Ukraine,5,"8116644, 35732042, 25209848, 8116653, 34740219"
Zimbabwe,4,"10361584, 29211908, 25348901, 40063851"
Congo,4,"31662423, 31662423, 38332656, 38332656"
Uganda,1,32632029
Belarus,4,"30804165, 28930375, 14635240, 39800765"
Malawi,1,19671533
Philippines,4,"34560760, 12028954, 37202208, 27582477"
Vietnam,5,"25794507, 12382252, 35121692, 29099469, 40561209"
Paraguay,1,33380514
Cuba,1,2305800
Kenya,2,"34483134, 27913579"
Senegal,1,35081593
Zambia,3,"23257118, 29211908, 7550794"
Honduras,1,28442543
St. Lucia,1,39095052
Mongolia,2,"31651605, 39164894"
Armenia,1,25046319
Grenada,1,36727985
Sierra Leone,1,36257667
Bosnia and Herzegovina,2,"30657988, 37984917"
Lesotho,1,29211908
Moldova,1,37984917
North Macedonia,1,37984917
